zaxis,yaxis,H,Na,K,Mg,Ca,Ba,Ti,V,Mn,Fe,Ni,Cu,Ag,Zn,B,Al,C,Si,Pb,REE,U,F,Cl,O,S,Se,P,As,Sb,Bi
H,H,1,0.220215353,0.107676276,0.156304272,0.301493574,0.048975339,0.066689823,0.053143453,0.130600903,0.228204238,0.021882598,0.11427579,0.001736714,0.062174366,0.065647794,0.275095519,0.098992706,0.334491143,0.069468565,0.067731851,0.081625564,0.058700938,0.075373394,0.993400486,0.155956929,0.006599514,0.160819729,0.118443904,0.01111497,0.014588399
H,Na,0.220215353,0.220215353,0.048627996,0.035776311,0.083014936,0.017367141,0.035776311,0.007641542,0.032997569,0.051754081,0.000694686,0.005904828,0,0.004168114,0.018061827,0.069121223,0.02084057,0.133726989,0.002084057,0.018061827,0.009030914,0.025703369,0.01840917,0.220215353,0.030566169,0.000694686,0.026398055,0.008683571,0.002084057,0.000347343
H,K,0.107676276,0.048627996,0.107676276,0.018756513,0.040986454,0.010072942,0.019798541,0.003126085,0.014935742,0.027092741,0.000347343,0.006599514,0.000347343,0.003126085,0.003473428,0.037165683,0.004168114,0.067037166,0.001389371,0.002778743,0.006599514,0.008683571,0.010420285,0.107676276,0.017714484,0.000347343,0.010420285,0.004168114,0.000694686,0
H,Mg,0.156304272,0.035776311,0.018756513,0.156304272,0.045154568,0.004168114,0.005904828,0.0048628,0.014588399,0.039597082,0.001736714,0.005210142,0,0.006946857,0.020493227,0.060090309,0.016672456,0.063563737,0.0024314,0.002778743,0.006599514,0.009725599,0.009378256,0.156304272,0.019451198,0.000347343,0.024313998,0.011462313,0.000694686,0.000347343
H,Ca,0.301493574,0.083014936,0.040986454,0.045154568,0.301493574,0.010767628,0.018061827,0.014241056,0.040986454,0.060090309,0.001736714,0.017019799,0.000347343,0.009725599,0.030566169,0.096213963,0.031260854,0.146578673,0.0048628,0.029176797,0.018061827,0.026745398,0.025703369,0.301493574,0.028134769,0.000694686,0.04550191,0.03195554,0.001042028,0.000694686
H,Ba,0.048975339,0.017367141,0.010072942,0.004168114,0.010767628,0.048975339,0.014935742,0.004515457,0.009030914,0.012851685,0,0.000694686,0,0.000347343,0.0024314,0.014588399,0.004168114,0.030566169,0.000694686,0.003820771,0.0048628,0.007294199,0.004515457,0.048975339,0.001736714,0.000347343,0.009030914,0.002778743,0,0
H,Ti,0.066689823,0.035776311,0.019798541,0.005904828,0.018061827,0.014935742,0.066689823,0.004168114,0.015630427,0.025008684,0,0.000694686,0,0.005210142,0.002084057,0.006599514,0.000694686,0.046891282,0.001389371,0.015283084,0.004515457,0.013893713,0.003126085,0.066689823,0.000347343,0,0.003820771,0.002084057,0.001042028,0
H,V,0.053143453,0.007641542,0.003126085,0.0048628,0.014241056,0.004515457,0.004168114,0.053143453,0.007641542,0.009378256,0.001042028,0.003473428,0,0.002084057,0.001389371,0.010420285,0.000347343,0.008336228,0.0048628,0.0024314,0.006599514,0.001736714,0.000694686,0.053143453,0.003126085,0,0.003820771,0.002084057,0,0.001389371
H,Mn,0.130600903,0.032997569,0.014935742,0.014588399,0.040986454,0.009030914,0.015630427,0.007641542,0.130600903,0.032650226,0.001042028,0.001736714,0.000347343,0.008683571,0.004515457,0.023619312,0.005210142,0.065300452,0.006252171,0.010072942,0.001736714,0.01111497,0.009378256,0.130600903,0.005904828,0,0.026745398,0.017367141,0.000347343,0
H,Fe,0.228204238,0.051754081,0.027092741,0.039597082,0.060090309,0.012851685,0.025008684,0.009378256,0.032650226,0.228204238,0.003126085,0.010420285,0.000347343,0.015283084,0.006252171,0.054185481,0.006946857,0.079194165,0.014935742,0.014588399,0.006946857,0.011809656,0.014241056,0.228204238,0.037513025,0.000347343,0.053838138,0.029871483,0.002084057,0.003473428
