zaxis,yaxis,H,B,C,O,F,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Mn,Fe,Ni,Cu,Zn,As,Se,Ag,Sb,Ba,Pb,Bi,U
H,H,3261,203,338,3239,197,719,523,880,1051,527,530,240,343,998,202,190,435,751,64,364,225,398,25,4,36,156,229,44,279
H,B,203,203,13,202,17,53,62,57,84,4,9,31,11,94,7,4,16,21,0,4,0,2,0,0,0,7,5,0,0
H,C,338,13,338,325,15,70,57,55,49,22,34,24,15,107,2,5,17,22,14,39,17,4,0,0,0,13,27,0,40
H,O,3239,202,325,3239,194,719,523,880,1049,527,530,235,343,998,202,189,435,751,63,363,225,398,25,4,36,156,228,43,279
H,F,197,17,15,194,197,85,35,90,102,37,27,15,29,88,44,5,32,37,0,6,3,3,0,0,0,26,7,0,10
H,Na,719,53,70,719,85,719,129,220,415,94,108,57,158,275,108,27,107,164,2,19,15,40,2,0,7,55,6,1,37
H,Mg,523,62,57,523,35,129,523,194,201,89,61,35,62,158,21,23,55,132,5,20,27,45,1,0,2,15,8,1,23
H,Al,880,57,55,880,90,220,194,880,457,170,146,41,117,321,23,35,84,186,7,44,37,47,4,0,5,44,29,1,20
H,Si,1051,84,49,1049,102,415,201,457,1051,18,43,59,206,476,141,29,206,257,7,29,36,17,1,0,2,93,30,1,19
H,P,527,4,22,527,37,94,89,170,18,527,24,4,33,146,12,16,101,181,2,42,43,10,0,0,0,33,30,11,52
H,S,530,9,34,530,27,108,61,146,43,24,530,32,61,96,3,11,21,128,16,88,47,23,3,1,10,7,49,4,59
H,Cl,240,31,24,235,15,57,35,41,59,4,32,240,36,79,8,4,30,44,6,64,10,19,2,2,3,13,41,2,2
H,K,343,11,15,343,29,158,62,117,206,33,61,36,343,124,58,14,44,90,1,18,9,14,1,1,2,30,5,0,28
H,Ca,998,94,107,998,88,275,158,321,476,146,96,79,124,998,53,56,137,206,5,56,32,112,3,0,5,36,18,2,59
H,Ti,202,7,2,202,44,108,21,23,141,12,3,8,58,53,202,12,40,74,0,2,17,5,0,0,3,47,4,0,13
H,V,190,4,5,189,5,27,23,35,29,16,11,4,14,56,12,190,26,29,2,12,6,11,0,0,0,14,15,5,22
H,Mn,435,16,17,435,32,107,55,84,206,101,21,30,44,137,40,26,435,107,2,7,35,64,0,0,2,28,21,0,7
H,Fe,751,21,22,751,37,164,132,186,257,181,128,44,90,206,74,29,107,751,9,28,58,96,1,1,6,39,44,10,22
H,Ni,64,0,14,63,0,2,5,7,7,2,16,6,1,5,0,2,2,9,64,6,1,11,1,0,2,0,1,1,4
H,Cu,364,4,39,363,6,19,20,44,29,42,88,64,18,56,2,12,7,28,6,364,35,93,12,2,5,2,59,8,18
H,Zn,225,0,17,225,3,15,27,37,36,43,47,10,9,32,17,6,35,58,1,35,225,59,0,1,3,2,28,0,4
H,As,398,2,4,398,3,40,45,47,17,10,23,19,14,112,5,11,64,96,11,93,59,398,0,0,10,9,46,14,35
H,Se,25,0,0,25,0,2,1,4,1,0,3,2,1,3,0,0,0,1,1,12,0,0,25,0,0,1,7,1,7
H,Ag,4,0,0,4,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,2,1,0,0,4,1,0,2,0,0
H,Sb,36,0,0,36,0,7,2,5,2,0,10,3,2,5,3,0,2,6,2,5,3,10,0,1,36,0,4,0,0
H,Ba,156,7,13,156,26,55,15,44,93,33,7,13,30,36,47,14,28,39,0,2,2,9,1,0,0,156,2,0,14
H,Pb,229,5,27,228,7,6,8,29,30,30,49,41,5,18,4,15,21,44,1,59,28,46,7,2,4,2,229,5,28
H,Bi,44,0,0,43,0,1,1,1,1,11,4,2,0,2,0,5,0,10,1,8,0,14,1,0,0,0,5,44,7
H,U,279,0,40,279,10,37,23,20,19,52,59,2,28,59,13,22,7,22,4,18,4,35,7,0,0,14,28,7,279
B,H,203,203,13,202,17,53,62,57,84,4,9,31,11,94,7,4,16,21,0,4,0,2,0,0,0,7,5,0,0
B,B,203,302,14,296,37,66,93,86,127,8,9,38,19,120,13,6,29,43,1,6,1,8,0,0,4,14,7,0,0
B,C,13,14,14,14,1,1,7,2,4,0,0,3,0,8,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0
B,O,202,296,14,296,33,64,93,86,126,8,9,38,17,120,12,6,29,43,1,6,1,8,0,0,4,14,7,0,0
B,F,17,37,1,33,37,15,12,11,26,6,2,2,4,15,3,2,3,9,0,0,0,5,0,0,0,5,3,0,0
B,Na,53,66,1,64,15,66,15,21,44,3,3,4,7,17,4,3,7,12,0,0,0,2,0,0,0,4,0,0,0
B,Mg,62,93,7,93,12,15,93,31,33,3,1,11,4,23,3,5,6,13,0,0,0,4,0,0,3,1,2,0,0
B,Al,57,86,2,86,11,21,31,86,66,0,3,5,6,29,3,1,7,21,0,0,0,2,0,0,1,0,0,0,0
B,Si,84,127,4,126,26,44,33,66,127,4,2,8,9,49,10,4,15,29,0,0,0,3,0,0,0,14,4,0,0
B,P,4,8,0,8,6,3,3,0,4,8,0,0,0,4,2,2,2,3,0,0,0,2,0,0,0,1,0,0,0
B,S,9,9,0,9,2,3,1,3,2,0,9,2,1,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
B,Cl,31,38,3,38,2,4,11,5,8,0,2,38,4,18,3,1,4,5,0,1,1,0,0,0,0,3,3,0,0
B,K,11,19,0,17,4,7,4,6,9,0,1,4,19,5,1,0,1,0,0,0,1,0,0,0,0,2,1,0,0
B,Ca,94,120,8,120,15,17,23,29,49,4,8,18,5,120,4,0,7,16,0,2,0,5,0,0,0,5,2,0,0
B,Ti,7,13,0,12,3,4,3,3,10,2,0,3,1,4,13,1,1,6,0,0,0,0,0,0,0,6,0,0,0
B,V,4,6,0,6,2,3,5,1,4,2,0,1,0,0,1,6,0,0,0,0,0,2,0,0,0,1,0,0,0
B,Mn,16,29,1,29,3,7,6,7,15,2,0,4,1,7,1,0,29,2,0,0,0,0,0,0,3,1,1,0,0
B,Fe,21,43,0,43,9,12,13,21,29,3,2,5,0,16,6,0,2,43,1,1,0,2,0,0,1,2,0,0,0
B,Ni,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
B,Cu,4,6,1,6,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0
B,Zn,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
B,As,2,8,0,8,5,2,4,2,3,2,0,0,0,5,0,2,0,2,0,0,0,8,0,0,0,0,0,0,0
B,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,Ag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,Sb,0,4,0,4,0,0,3,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,4,0,0,0,0
B,Ba,7,14,0,14,5,4,1,0,14,1,0,3,2,5,6,1,1,2,0,0,0,0,0,0,0,14,1,0,0
B,Pb,5,7,3,7,3,0,2,0,4,0,0,3,1,2,0,0,1,0,0,0,0,0,0,0,0,1,7,0,0
B,Bi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,H,338,13,338,325,15,70,57,55,49,22,34,24,15,107,2,5,17,22,14,39,17,4,0,0,0,13,27,0,40
C,B,13,14,14,14,1,1,7,2,4,0,0,3,0,8,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0
C,C,338,14,469,441,44,112,68,60,67,30,43,33,22,155,6,5,25,33,17,43,19,4,0,0,0,32,34,3,43
