zaxis,yaxis,H,B,C,O,F,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Mn,Fe,Ni,Cu,Zn,As,Se,Ag,Sb,Ba,Pb,Bi,U,REE
H,H,3320,206,341,3297,235,740,576,911,1073,535,553,250,376,1038,205,191,481,793,71,376,239,406,26,4,38,166,247,44,283,219
H,B,206,206,14,205,20,52,62,60,83,3,9,30,11,93,5,4,17,20,0,4,0,2,0,0,0,6,5,0,1,11
H,C,341,14,341,327,18,69,61,55,49,22,36,23,15,110,2,6,19,23,14,39,17,4,0,0,0,14,28,0,41,58
H,O,3297,205,327,3297,232,740,576,911,1071,535,553,245,376,1038,205,190,481,793,70,375,239,406,26,4,38,166,246,43,283,219
H,F,235,20,18,232,235,101,45,107,122,46,28,15,42,96,49,6,40,48,0,6,3,3,0,1,1,33,8,0,10,35
H,Na,740,52,69,740,101,740,142,243,432,99,109,57,176,296,105,29,123,174,2,20,15,42,2,0,7,62,5,1,36,50
H,Mg,576,62,61,576,45,142,576,217,223,100,68,35,73,177,23,29,90,162,10,22,37,52,1,0,2,24,10,1,26,16
H,Al,911,60,55,911,107,243,217,911,472,181,151,40,142,344,27,38,100,215,11,48,40,49,4,0,6,55,32,1,23,57
H,Si,1073,83,49,1071,122,432,223,472,1073,18,43,61,226,496,147,30,233,281,8,31,37,19,1,0,3,97,34,1,21,104
H,P,535,3,22,535,46,99,100,181,18,535,27,4,39,153,11,18,111,193,2,43,45,12,0,0,0,36,31,11,52,28
H,S,553,9,36,553,28,109,68,151,43,27,553,36,69,99,3,12,28,134,21,96,58,23,3,1,10,6,57,4,62,13
H,Cl,250,30,23,245,15,57,35,40,61,4,36,250,36,80,8,4,32,48,6,66,12,20,2,3,3,12,44,2,2,5
H,K,376,11,15,376,42,176,73,142,226,39,69,36,376,143,58,16,52,100,1,17,11,14,1,1,3,41,6,1,29,9
H,Ca,1038,93,110,1038,96,296,177,344,496,153,99,80,143,1038,58,60,165,229,4,57,34,114,3,0,6,46,23,2,61,95
H,Ti,205,5,2,205,49,105,23,27,147,11,3,8,58,58,205,10,51,82,0,2,17,6,0,0,4,47,3,0,10,37
H,V,191,4,6,190,6,29,29,38,30,18,12,4,16,60,10,191,27,29,3,13,7,13,0,0,1,13,15,5,21,7
H,Mn,481,17,19,481,40,123,90,100,233,111,28,32,52,165,51,27,481,152,3,7,42,70,0,0,3,35,20,0,6,26
