zaxis,yaxis,H,B,C,O,F,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Mn,Fe,Ni,Cu,Zn,As,Se,Ag,Sb,Ba,Pb,Bi,U,REE
H,H,3233,193,331,3209,141,642,473,817,1023,524,534,211,286,918,145,181,407,662,64,359,210,397,26,3,32,134,230,42,272,187
H,B,193,193,13,192,10,50,55,52,73,3,8,24,9,89,3,3,15,18,0,4,0,2,0,0,0,4,5,0,0,7
H,C,331,13,331,317,12,65,55,50,46,17,30,19,11,97,2,6,17,22,12,36,15,4,0,0,0,12,28,0,41,56
H,O,3209,192,317,3209,138,642,473,817,1021,524,534,205,286,918,145,180,407,662,63,358,210,397,26,3,32,134,229,41,272,187
H,F,141,10,12,138,141,54,22,79,58,30,24,8,14,58,18,2,14,15,0,6,1,3,0,0,0,16,6,0,8,14
H,Na,642,50,65,642,54,642,106,182,355,89,102,38,81,186,81,28,81,129,2,16,11,36,2,0,4,42,3,1,33,37
H,Mg,473,55,55,473,22,106,473,147,161,86,61,28,50,131,11,24,42,78,2,16,16,40,1,0,2,11,7,1,24,15
H,Al,817,52,50,817,79,182,147,817,401,169,135,33,81,269,9,31,70,136,6,39,23,42,4,0,5,34,27,1,21,56
H,Si,1023,73,46,1021,58,355,161,401,1023,15,36,35,161,423,116,27,185,215,7,29,32,17,1,0,2,76,33,1,20,94
H,P,524,3,17,524,30,89,86,169,15,524,21,1,32,134,9,14,98,176,2,40,44,9,0,0,0,32,27,11,51,24
H,S,534,8,30,534,24,102,61,135,36,21,534,29,53,85,2,12,24,122,15,87,48,21,3,1,10,5,54,4,61,12
H,Cl,211,24,19,205,8,38,28,33,35,1,29,211,25,53,2,3,17,31,5,61,9,14,2,2,3,9,39,1,2,3
H,K,286,9,11,286,14,81,50,81,161,32,53,25,286,75,30,10,28,71,1,16,7,12,1,1,2,8,3,0,27,3
H,Ca,918,89,97,918,58,186,131,269,423,134,85,53,75,918,32,55,111,171,4,50,30,112,3,0,5,18,13,1,54,67
H,Ti,145,3,2,145,18,81,11,9,116,9,2,2,30,32,145,4,22,36,0,2,8,5,0,0,2,36,1,0,2,16
H,V,181,3,6,180,2,28,24,31,27,14,12,3,10,55,4,181,22,16,2,11,5,10,0,0,0,11,14,5,16,3
H,Mn,407,15,17,407,14,81,42,70,185,98,24,17,28,111,22,22,407,78,2,7,31,66,0,0,2,21,19,0,4,17
H,Fe,662,18,22,662,15,129,78,136,215,176,122,31,71,171,36,16,78,662,6,22,40,86,1,1,6,32,36,7,13,34
H,Ni,64,0,12,63,0,2,2,6,7,2,15,5,1,4,0,2,2,6,64,4,1,11,1,0,2,0,1,1,4,0
H,Cu,359,4,36,358,6,16,16,39,29,40,87,61,16,50,2,11,7,22,4,359,25,94,12,2,5,1,59,8,18,11
H,Zn,210,0,15,210,1,11,16,23,32,44,48,9,7,30,8,5,31,40,1,25,210,54,0,1,3,2,26,0,4,1
H,As,397,2,4,397,3,36,40,42,17,9,21,14,12,112,5,10,66,86,11,94,54,397,0,0,9,9,48,12,36,14
H,Se,26,0,0,26,0,2,1,4,1,0,3,2,1,3,0,0,0,1,1,12,0,0,26,0,0,1,8,1,8,0
H,Ag,3,0,0,3,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,2,1,0,0,3,0,0,2,0,0,0
H,Sb,32,0,0,32,0,4,2,5,2,0,10,3,2,5,2,0,2,6,2,5,3,9,0,0,32,0,4,0,0,0
H,Ba,134,4,12,134,16,42,11,34,76,32,5,9,8,18,36,11,21,32,0,1,2,9,1,0,0,134,2,0,13,11
H,Pb,230,5,28,229,6,3,7,27,33,27,54,39,3,13,1,14,19,36,1,59,26,48,8,2,4,2,230,4,28,3
H,Bi,42,0,0,41,0,1,1,1,1,11,4,1,0,1,0,5,0,7,1,8,0,12,1,0,0,0,4,42,7,0
H,U,272,0,41,272,8,33,24,21,20,51,61,2,27,54,2,16,4,13,4,18,4,36,8,0,0,13,28,7,272,12
H,REE,187,7,56,187,14,37,15,56,94,24,12,3,3,67,16,3,17,34,0,11,1,14,0,0,0,11,3,0,12,187
B,H,193,193,13,192,10,50,55,52,73,3,8,24,9,89,3,3,15,18,0,4,0,2,0,0,0,4,5,0,0,7
B,B,193,297,14,291,30,61,88,80,122,7,8,33,17,116,8,5,28,38,1,6,1,6,0,0,2,14,6,0,0,20
