zaxis,yaxis,H,Li,Be,B,C,N,O,F,Na,Mg,Al,Si,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Nd,Sm,Gd,Dy,Er,Yb,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U
H,H,3261,63,73,203,338,126,3239,197,719,523,880,1051,527,530,240,343,998,9,202,190,48,435,751,40,64,364,225,4,10,398,25,5,1,96,79,77,102,45,0,0,0,4,12,2,27,36,52,11,14,156,32,92,20,1,1,0,1,2,0,13,24,0,0,0,0,0,10,7,229,44,26,279
H,Li,63,63,6,10,3,0,63,12,26,11,31,45,13,1,2,10,15,0,7,0,0,8,14,0,0,1,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
H,Be,73,6,73,5,1,0,73,4,18,5,12,38,27,0,1,5,39,1,0,0,0,13,10,0,0,0,3,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
H,B,203,10,5,203,13,3,202,17,53,62,57,84,4,9,31,11,94,0,7,4,5,16,21,0,0,4,0,0,0,2,0,0,1,9,7,2,2,0,0,0,0,0,0,0,1,0,0,0,1,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0
H,C,338,3,1,13,338,22,325,15,70,57,55,49,22,34,24,15,107,0,2,5,5,17,22,4,14,39,17,0,1,4,0,0,0,12,28,9,4,0,0,0,0,0,0,0,0,0,2,0,0,13,7,17,8,0,1,0,1,1,0,1,1,0,0,0,0,0,3,0,27,0,2,40
H,N,126,0,0,3,22,126,117,5,22,14,22,9,19,50,23,10,8,0,0,8,0,2,18,1,4,12,1,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,2,0,11
H,O,3239,63,73,202,325,117,3239,194,719,523,880,1049,527,530,235,343,998,9,202,189,48,435,751,40,63,363,225,4,10,398,25,5,1,96,79,77,102,45,0,0,0,4,12,2,26,36,52,11,14,156,32,92,20,1,1,0,1,2,0,13,24,0,0,0,0,0,10,7,228,43,26,279
H,F,197,12,4,17,15,5,194,197,85,35,90,102,37,27,15,29,88,0,44,5,4,32,37,0,0,6,3,0,0,3,0,1,0,9,17,6,17,0,0,0,0,0,1,0,0,0,0,0,5,26,2,16,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,4,10
H,Na,719,26,18,53,70,22,719,85,719,129,220,415,94,108,57,158,275,3,108,27,8,107,164,3,2,19,15,0,0,40,2,0,0,42,26,62,59,8,0,0,0,0,0,0,2,7,0,3,4,55,3,26,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,6,1,6,37
H,Mg,523,11,5,62,57,14,523,35,129,523,194,201,89,61,35,62,158,4,21,23,13,55,132,2,5,20,27,0,0,45,1,0,0,6,0,3,6,5,0,0,0,0,0,0,3,2,8,3,0,15,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,1,0,23
H,Al,880,31,12,57,55,22,880,90,220,194,880,457,170,146,41,117,321,0,23,35,5,84,186,1,7,44,37,1,3,47,4,0,0,31,13,2,4,4,0,0,0,0,1,0,7,5,1,0,2,44,15,26,4,1,0,0,0,0,0,2,4,0,0,0,0,0,1,1,29,1,4,20
H,Si,1051,45,38,84,49,9,1049,102,415,201,457,1051,18,43,59,206,476,5,141,29,14,206,257,1,7,29,36,0,1,17,1,0,0,46,30,64,61,0,0,0,0,0,0,0,8,2,0,0,9,93,17,54,6,0,1,0,1,2,0,0,6,0,0,0,0,0,0,0,30,1,8,19
H,P,527,13,27,4,22,19,527,37,94,89,170,18,527,24,4,33,146,3,12,16,2,101,181,1,2,42,43,1,1,10,0,0,0,14,9,9,5,6,0,0,0,0,2,0,0,0,0,0,1,33,3,9,3,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,30,11,8,52
H,S,530,1,0,9,34,50,530,27,108,61,146,43,24,530,32,61,96,0,3,11,6,21,128,12,16,88,47,1,4,23,3,0,0,5,6,1,3,4,0,0,0,1,8,0,1,10,9,1,0,7,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,49,4,0,59
H,Cl,240,2,1,31,24,23,235,15,57,35,41,59,4,32,240,36,79,0,8,4,4,30,44,2,6,64,10,0,0,19,2,2,0,10,2,20,10,0,0,0,0,2,0,0,2,3,7,2,0,13,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,2,41,2,0,2
H,K,343,10,5,11,15,10,343,29,158,62,117,206,33,61,36,343,124,0,58,14,3,44,90,0,1,18,9,0,0,14,1,1,0,15,5,13,30,2,0,0,0,1,1,0,0,2,0,2,1,30,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,5,0,1,28
