zaxis,yaxis,H,Li,Be,B,C,N,O,F,Na,Mg,Al,Si,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Gd,Dy,Er,Yb,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U
H,H,3320,66,74,206,341,134,3297,235,740,576,911,1073,535,553,250,376,1039,8,205,191,47,481,793,40,71,376,239,5,11,406,26,6,2,109,77,80,111,51,0,0,0,4,12,2,27,38,54,13,16,166,48,103,1,36,5,4,3,1,3,0,14,25,0,0,0,0,0,13,7,247,44,27,283
H,Li,66,66,7,10,3,0,66,16,29,11,33,48,13,1,2,13,15,0,7,0,0,11,15,0,0,1,0,0,0,0,0,0,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
H,Be,74,7,74,5,1,0,74,8,18,6,16,38,28,0,1,6,41,0,0,0,0,14,11,0,0,0,3,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,2,0,0,0,1,4,1,4,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1
H,B,206,10,5,206,14,3,205,20,52,62,60,83,3,9,30,11,94,0,5,4,4,17,20,0,0,4,0,0,0,2,0,0,1,9,4,2,2,0,0,0,0,0,0,0,1,0,0,0,1,6,2,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,2,1
H,C,341,3,1,14,341,23,327,18,69,61,55,49,22,36,23,15,110,0,2,6,5,19,23,4,14,39,17,0,1,4,0,0,0,13,31,9,4,0,0,0,0,0,0,0,0,0,2,0,0,14,18,22,1,18,3,4,3,1,1,0,1,1,0,0,0,0,0,3,0,28,0,2,41
H,N,134,0,0,3,23,134,125,5,23,15,25,10,21,55,25,18,8,0,0,8,0,2,19,1,5,13,1,0,0,8,0,4,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,2,0,12
H,O,3297,66,74,205,327,125,3297,232,740,576,911,1071,535,553,245,376,1039,8,205,190,47,481,793,40,70,375,239,5,11,406,26,6,2,109,77,80,111,51,0,0,0,4,12,2,26,38,54,13,16,166,48,103,1,36,5,4,3,1,3,0,14,25,0,0,0,0,0,13,7,246,43,27,283
H,F,235,16,8,20,18,5,232,235,101,45,107,122,46,28,15,42,96,0,49,6,5,40,48,0,0,6,3,0,0,3,0,1,1,15,16,5,21,0,0,0,0,1,1,0,0,1,0,0,6,33,4,20,0,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,8,0,4,10
H,Na,740,29,18,52,69,23,740,101,740,142,243,432,99,109,57,176,296,1,105,29,7,123,174,3,2,20,15,0,0,42,2,0,0,48,23,65,59,7,0,0,0,0,0,0,2,7,0,3,5,62,4,27,0,1,0,1,1,0,0,0,3,5,0,0,0,0,0,0,0,5,1,5,36
H,Mg,576,11,6,62,61,15,576,45,142,576,217,223,100,68,35,73,177,3,23,29,13,90,162,3,10,22,37,0,0,52,1,0,0,12,1,3,7,5,0,0,0,0,0,0,5,2,9,3,0,24,3,11,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,10,1,0,26
